,date,temperature_2m_mean,sunshine_duration,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,Date
0,12-31-2017,-4.643249,23525.305,28.054604,43.56,66.28328,7.06,1.3160326,12-31-2017
1,01-01-2018,-4.828666,28800.0,27.70831,43.56,57.318825,8.46,1.7843547,01-01-2018
2,01-02-2018,-7.022415,28915.564,23.535301,37.8,68.72192,8.75,1.2650683,01-02-2018
3,01-03-2018,-9.522416,28800.0,17.174677,25.56,67.44575,8.49,0.83627194,01-03-2018
4,01-04-2018,-9.303668,29004.486,20.696087,29.519999,52.933533,8.88,1.01624,01-04-2018
5,01-05-2018,-11.774501,29101.691,15.84,28.44,60.79094,9.07,0.89090025,01-05-2018
6,01-06-2018,-12.141167,29205.482,15.408671,21.599998,21.08212,9.19,0.8452107,01-06-2018
7,01-07-2018,-12.203667,29211.479,13.217443,23.759998,296.86182,9.13,0.7754326,01-07-2018
8,01-08-2018,-11.207833,29324.543,11.367109,19.08,301.70135,9.24,0.75011027,01-08-2018
9,01-09-2018,-11.074498,29332.21,13.37825,24.119999,287.90933,9.17,0.7787647,01-09-2018
10,01-10-2018,-10.174501,29454.156,13.324863,22.319998,52.299183,9.31,0.8181474,01-10-2018
11,01-11-2018,-9.978665,26908.889,13.854155,27.72,267.09467,8.99,0.85528606,01-11-2018
12,01-12-2018,-8.430749,29470.791,22.782625,37.8,54.312805,8.74,1.0001681,01-12-2018
13,01-13-2018,-7.645333,22571.068,20.592503,33.839996,267.80212,7.66,0.98165417,01-13-2018
14,01-14-2018,-8.076583,28834.27,16.171976,22.319998,69.85146,9.23,0.9302663,01-14-2018
15,01-15-2018,-6.7203326,27758.87,22.930048,33.48,74.1751,8.62,1.1808003,01-15-2018
16,01-16-2018,-3.9828331,29624.348,23.333443,34.56,76.29148,9.16,1.5982606,01-16-2018
17,01-17-2018,-5.5536666,28332.967,12.7279215,23.759998,242.82547,9.35,1.1586251,01-17-2018
18,01-18-2018,-5.166167,30058.828,15.542662,27.72,263.99677,9.92,1.0628603,01-18-2018
19,01-19-2018,-5.241166,10089.635,21.313093,33.839996,266.11212,6.37,1.2122946,01-19-2018
20,01-20-2018,-4.487,30968.438,16.595179,26.64,70.317856,10.09,1.4381764,01-20-2018
21,01-21-2018,-3.0953329,31068.783,14.799459,20.16,40.8238,10.26,1.3480761,01-21-2018
22,01-22-2018,-2.9328334,29167.156,16.676977,24.84,63.93001,9.89,1.3801591,01-22-2018
23,01-23-2018,-3.1119995,20283.604,29.49804,46.079998,66.979355,7.96,1.7556862,01-23-2018
24,01-24-2018,-4.932833,31051.87,26.052162,42.48,66.34696,10.6,1.4342875,01-24-2018
25,01-25-2018,-6.68075,31372.281,30.555498,45.0,62.08034,9.99,1.3741553,01-25-2018
26,01-26-2018,-8.251584,8059.4263,42.91254,65.159996,55.8592,5.62,1.4223229,01-26-2018
27,01-27-2018,-8.626584,24545.756,34.54687,51.48,56.21239,8.1,1.4427633,01-27-2018
28,01-28-2018,-9.0286665,10254.899,16.904673,28.08,78.65531,6.93,0.8417769,01-28-2018
29,01-29-2018,-10.605749,31790.314,16.62249,28.44,268.22522,11.45,0.89860654,01-29-2018
30,01-30-2018,-11.282833,28577.375,13.202726,21.24,266.10355,10.59,0.74653643,01-30-2018
31,01-31-2018,-11.064083,28988.2,11.983188,16.56,12.1368265,11.19,0.87354034,01-31-2018
32,02-01-2018,-9.901584,32112.283,14.81259,20.519999,61.915886,11.84,0.9766912,02-01-2018
33,02-02-2018,-10.118251,32289.197,16.981165,30.960001,63.434986,12.07,1.1030253,02-02-2018
34,02-03-2018,-9.982834,31792.162,12.245294,19.8,42.02621,10.18,0.9354342,02-03-2018
35,02-04-2018,-9.4349165,32554.67,13.339445,20.880001,26.67054,12.3,1.060815,02-04-2018
36,02-05-2018,-7.826584,29162.336,17.193533,29.519999,296.95203,10.91,1.324337,02-05-2018
37,02-06-2018,-5.791167,32943.03,13.392774,24.84,75.60632,12.45,1.3281052,02-06-2018
38,02-07-2018,-5.01825,33140.62,27.345785,43.56,268.791,12.54,1.6170775,02-07-2018
39,02-08-2018,-5.6390824,33147.83,22.19773,36.719997,82.13476,12.81,1.4697896,02-08-2018
40,02-09-2018,-4.216167,33402.266,17.31746,24.48,57.96592,13.12,1.6856198,02-09-2018
41,02-10-2018,-4.176583,33540.49,12.599999,21.24,357.6863,13.27,1.4988759,02-10-2018
42,02-11-2018,-4.2411666,33552.58,16.434305,29.519999,294.9528,13.41,1.4365305,02-11-2018
43,02-12-2018,-4.9245,23745.838,18.514643,31.319998,263.7672,9.99,1.1992489,02-12-2018
44,02-13-2018,-2.0015833,33845.35,13.004922,24.84,350.0738,13.55,1.6582649,02-13-2018
45,02-14-2018,-0.01824964,33998.234,17.193533,28.8,58.824364,13.54,1.9375259,02-14-2018
46,02-15-2018,1.9025831,22016.36,13.797912,25.919998,105.22336,10.27,1.8653922,02-15-2018
47,02-16-2018,1.1484166,32756.68,26.758923,43.92,77.95483,13.7,2.2862372,02-16-2018
48,02-17-2018,1.7421665,30427.254,32.55363,51.48,67.392044,12.5,2.720161,02-17-2018
49,02-18-2018,0.66508347,23709.178,32.688713,51.12,53.593056,11.41,2.7068133,02-18-2018
50,02-19-2018,-2.0390832,34941.543,16.704155,28.08,81.869965,14.67,1.9626743,02-19-2018
51,02-20-2018,-1.8849171,35036.96,14.332341,19.8,24.6467,15.05,2.0539079,02-20-2018
52,02-21-2018,-1.1536669,29416.496,25.068514,41.039997,273.4803,12.97,2.0904016,02-21-2018
53,02-22-2018,0.69424987,35211.562,16.75064,28.8,257.9804,14.86,2.158551,02-22-2018
54,02-23-2018,2.9984167,35303.258,11.753877,19.44,68.73192,15.19,2.3439856,02-23-2018
55,02-24-2018,5.308833,35395.6,20.60823,33.48,266.73987,14.43,2.7916152,02-24-2018
56,02-25-2018,7.4984164,35284.926,16.279802,28.8,264.703,13.72,2.904536,02-25-2018
57,02-26-2018,7.7546673,27192.232,16.09969,28.8,64.54036,13.59,3.1469839,02-26-2018
58,02-27-2018,9.4296665,25306.756,16.263872,27.0,257.59833,11.79,3.0715075,02-27-2018
59,02-28-2018,9.2525835,35769.273,19.201874,33.12,258.16925,15.48,3.2554495,02-28-2018
60,03-01-2018,9.992167,26861.18,29.301876,43.92,25.77472,14.89,3.2994287,03-01-2018
61,03-02-2018,7.9671664,5507.6743,31.608328,48.96,71.63922,7.77,3.246219,03-02-2018
62,03-03-2018,6.7567506,36468.25,29.301876,43.56,71.54702,16.07,3.1543138,03-03-2018
63,03-04-2018,6.6088333,31140.396,26.674032,43.199997,275.57205,15.14,3.0979276,03-04-2018
64,03-05-2018,7.3088326,36588.344,13.556282,26.28,183.6913,16.61,3.0239437,03-05-2018
65,03-06-2018,8.675499,36716.98,14.417988,26.28,81.47394,16.81,3.4586365,03-06-2018
66,03-07-2018,10.194251,36714.867,18.720001,29.88,70.51378,16.5,3.9053743,03-07-2018
67,03-08-2018,10.423415,36848.92,17.917007,30.599998,293.58163,17.19,3.7093332,03-08-2018
68,03-09-2018,11.725499,36986.656,25.14852,39.96,282.13593,17.29,4.470439,03-09-2018
69,03-10-2018,12.271333,37127.91,18.448023,33.12,267.34506,17.53,4.111719,03-10-2018
70,03-11-2018,13.529666,37128.727,15.7908325,28.8,63.435013,17.65,4.5666056,03-11-2018
71,03-12-2018,16.335915,32444.113,34.213257,55.079998,60.798206,16.16,6.5318284,03-12-2018
72,03-13-2018,15.927585,37275.45,37.99663,59.76,54.814266,17.28,6.932892,03-13-2018
73,03-14-2018,15.179666,35196.5,39.87071,59.039997,58.953987,17.38,6.2078753,03-14-2018
74,03-15-2018,13.121333,32847.766,33.09651,50.039997,66.762566,14.43,4.9985776,03-15-2018
75,03-16-2018,11.529667,37580.31,14.773164,24.84,78.62491,18.68,4.4449677,03-16-2018
76,03-17-2018,12.292167,37892.2,37.827415,64.079994,31.814219,17.13,5.073547,03-17-2018
77,03-18-2018,8.788,36796.914,22.33161,34.92,85.75879,18.76,4.1904836,03-18-2018
78,03-19-2018,11.881751,37740.56,17.208603,24.48,65.53662,18.59,4.276292,03-19-2018
79,03-20-2018,15.042167,37901.613,20.969807,34.56,69.208206,19.03,5.2578826,03-20-2018
80,03-21-2018,15.717166,37984.03,16.343367,23.4,58.934902,19.13,5.0126233,03-21-2018
81,03-22-2018,16.296331,38258.098,13.722565,23.039999,167.96957,19.3,5.029422,03-22-2018
82,03-23-2018,17.410917,35507.51,19.9954,29.519999,298.9988,19.3,5.752653,03-23-2018
83,03-24-2018,19.494251,38394.9,20.172853,31.319998,247.34807,19.25,6.0302944,03-24-2018
84,03-25-2018,18.623417,38071.13,28.312117,45.36,258.77264,20.02,6.3006773,03-25-2018
85,03-26-2018,18.673418,33973.58,36.749985,55.079998,59.057846,18.93,7.3869267,03-26-2018
86,03-27-2018,19.13175,23610.24,44.583347,66.24,49.209274,16.37,8.112813,03-27-2018
87,03-28-2018,18.042166,37208.793,25.567604,43.56,91.5794,19.57,6.2931075,03-28-2018
88,03-29-2018,15.590084,39247.1,29.462873,45.0,106.220276,19.35,4.9607825,03-29-2018
89,03-30-2018,17.685919,39718.938,30.77737,48.6,239.54219,20.47,5.8284006,03-30-2018
90,03-31-2018,19.260918,38221.2,32.85678,52.199997,271.77377,20.25,6.609467,03-31-2018
91,04-01-2018,14.419253,32066.773,43.79589,68.4,61.819046,16.81,6.605234,04-01-2018
92,04-02-2018,13.740082,31988.809,34.56187,53.639996,57.49679,17.55,6.2142687,04-02-2018
93,04-03-2018,11.4713335,40555.145,38.1617,48.6,88.671104,21.26,5.4245076,04-03-2018
94,04-04-2018,7.352583,41118.71,42.56229,64.799995,80.325676,21.92,5.858729,04-04-2018
95,04-05-2018,11.090084,41364.133,33.549606,50.76,65.05533,22.17,6.438114,04-05-2018
96,04-06-2018,12.508832,40951.203,17.238699,30.599998,93.17977,21.75,5.435143,04-06-2018
97,04-07-2018,15.975502,38069.688,28.019936,40.32,320.90613,21.57,5.597467,04-07-2018
98,04-08-2018,15.550502,21489.06,33.145424,53.639996,77.89044,15.63,5.885393,04-08-2018
99,04-09-2018,16.933832,38721.406,24.098497,38.88,63.93064,19.8,6.8756323,04-09-2018
100,04-10-2018,17.210918,24523.541,33.283943,53.639996,19.128399,14.77,6.1021805,04-10-2018
101,04-11-2018,8.560918,26569.77,38.36492,57.239998,63.7222,16.18,4.204296,04-11-2018
102,04-12-2018,10.113,41688.188,18.775301,32.760002,72.31147,22.56,4.467165,04-12-2018
103,04-13-2018,13.398416,41945.383,14.934577,25.919998,292.83365,22.7,5.1742377,04-13-2018
104,04-14-2018,16.240084,41767.96,19.48661,34.2,283.69003,22.65,5.9282455,04-14-2018
105,04-15-2018,19.49425,41598.22,12.57426,24.84,253.60059,22.51,5.9444737,04-15-2018
106,04-16-2018,22.637999,26186.264,34.80848,55.44,57.822674,17.06,8.789023,04-16-2018
107,04-17-2018,23.519247,32457.535,28.58545,42.48,64.063225,18.32,7.575384,04-17-2018
108,04-18-2018,19.852585,38360.734,49.02481,74.159996,42.08174,18.94,8.603391,04-18-2018
109,04-19-2018,15.740085,23094.076,38.896664,58.679996,69.00624,14.97,6.0851717,04-19-2018
110,04-20-2018,17.088,24132.81,45.33714,67.67999,49.509968,16.16,7.4061193,04-20-2018
111,04-21-2018,18.665083,37975.082,16.279802,26.64,218.61716,20.58,5.364022,04-21-2018
112,04-22-2018,20.052584,39970.652,21.841648,36.0,171.04752,21.92,6.308139,04-22-2018
113,04-23-2018,22.34842,42599.477,21.629978,38.88,258.81348,23.21,7.331093,04-23-2018
114,04-24-2018,23.521332,42942.336,16.45007,32.039997,255.01974,23.3,7.114615,04-24-2018
115,04-25-2018,27.048416,43162.746,40.186382,63.36,67.93981,23.77,11.441859,04-25-2018
116,04-26-2018,24.427582,41236.96,48.637318,72.36,39.685055,22.42,10.914045,04-26-2018
117,04-27-2018,20.892168,34838.195,31.810638,50.399998,51.18868,22.13,6.844024,04-27-2018
118,04-28-2018,22.040085,37445.074,37.861664,61.199997,263.62357,22.68,8.593589,04-28-2018
119,04-29-2018,21.000502,43188.35,38.681152,57.6,85.13015,23.94,8.461436,04-29-2018
120,04-30-2018,23.221334,43200.0,28.1169,45.36,83.11384,24.43,9.603112,04-30-2018
121,05-01-2018,24.871332,41055.582,42.224483,66.6,53.83446,24.49,11.007376,05-01-2018
122,05-02-2018,23.077585,26313.422,36.06474,57.239998,64.82944,18.21,8.890255,05-02-2018
123,05-03-2018,20.18175,38449.61,32.431984,52.92,86.81296,22.18,8.444862,05-03-2018
124,05-04-2018,21.248419,40632.54,32.789658,51.48,80.633545,24.32,8.497472,05-04-2018
125,05-05-2018,23.329666,42835.6,15.484185,27.72,16.090864,24.07,6.729273,05-05-2018
126,05-06-2018,20.085917,28587.209,48.132412,73.079994,41.205784,18.54,8.054673,05-06-2018
127,05-07-2018,14.379666,39650.73,31.487139,61.199997,89.27321,23.23,6.3736253,05-07-2018
128,05-08-2018,17.435917,43210.246,17.339897,28.08,62.525684,25.71,6.8274517,05-08-2018
129,05-09-2018,20.396334,43200.0,27.09822,46.079998,267.90332,25.28,8.031019,05-09-2018
130,05-10-2018,23.858833,43200.0,30.302078,49.68,262.03394,25.16,8.548238,05-10-2018
131,05-11-2018,27.483833,43200.0,12.72283,25.199999,271.3391,25.22,7.0618887,05-11-2018
132,05-12-2018,29.94425,43291.156,29.830078,41.760002,66.25042,25.29,8.45359,05-12-2018
133,05-13-2018,27.767168,18921.93,42.694542,63.72,67.35335,15.51,9.999414,05-13-2018
134,05-14-2018,23.365084,36621.71,39.91944,61.920002,50.936478,22.91,9.229507,05-14-2018
135,05-15-2018,21.152582,31310.615,31.845247,52.56,66.78073,21.47,7.859236,05-15-2018
136,05-16-2018,23.14425,42133.633,26.208395,39.239998,80.26198,24.02,7.955156,05-16-2018
137,05-17-2018,25.163002,43294.094,28.835976,47.16,82.900154,25.12,8.2444725,05-17-2018
138,05-18-2018,25.683836,40912.324,40.257275,60.839996,48.110474,24.63,10.786952,05-18-2018
139,05-19-2018,21.51925,34457.27,47.379333,72.72,46.6039,21.28,8.618158,05-19-2018
140,05-20-2018,16.829668,43371.957,29.195534,50.399998,84.98974,26.64,7.926358,05-20-2018
141,05-21-2018,20.500498,43700.855,23.233252,33.839996,75.89948,26.8,7.647317,05-21-2018
142,05-22-2018,23.090082,43355.453,31.435646,51.12,259.09686,25.47,8.670224,05-22-2018
143,05-23-2018,20.110918,38146.53,47.238255,73.079994,14.947901,19.44,6.9778843,05-23-2018
144,05-24-2018,13.890083,39398.1,35.28,58.679996,333.22513,24.16,5.154531,05-24-2018
145,05-25-2018,17.75675,43993.094,13.556282,19.08,342.12115,26.4,5.541077,05-25-2018
146,05-26-2018,22.277582,44154.25,18.511143,34.92,287.57614,26.71,7.601618,05-26-2018
147,05-27-2018,25.396332,44142.395,15.379206,27.359999,270.24484,26.43,7.8653545,05-27-2018
